R,G,B,hue,High_or_Low
-25,-11,-11,0.0,Low group
1,-1,-1,0.0,Low group
-14,2,2,0.0,Low group
-11,-6,-6,0.0,Low group
-2,-15,-15,0.0,Low group
2,11,11,0.0,Low group
3,-8,-8,0.0,Low group
0,14,14,0.0,Low group
-11,-4,-4,0.0,Low group
-1,15,15,0.0,Low group
17,3,3,0.0,Low group
10,9,9,0.0,Low group
-7,0,0,0.0,Low group
0,14,14,0.0,Low group
-22,-13,-13,0.0,Low group
-11,1,1,0.0,Low group
22,0,0,0.0,Low group
-10,-4,-4,0.0,Low group
-16,-16,-16,0.0,Low group
-5,-4,-4,0.0,Low group
-4,-17,-17,0.0,Low group
7,20,20,0.0,Low group
23,17,17,0.0,Low group
2,-12,-12,0.0,Low group
-18,-13,-13,0.0,Low group
0,-9,-9,0.0,Low group
17,4,4,0.0,Low group
19,25,25,0.0,Low group
21,32,32,0.0,Low group
-12,0,0,0.0,Low group
-25,-25,-25,0.0,Low group
-18,-3,-3,0.0,Low group
-11,-10,-10,0.0,Low group
11,-6,-6,0.0,Low group
-8,-21,-21,0.0,Low group
18,15,15,0.0,Low group
22,23,23,0.0,Low group
-19,-20,-20,0.0,Low group
-23,-9,-9,0.0,Low group
-23,-30,-30,0.0,Low group
1,1,1,0.0,Low group
-16,-10,-10,0.0,Low group
3,10,10,0.0,Low group
-4,2,2,0.0,Low group
-22,-14,-14,0.0,Low group
-13,-8,-8,0.0,Low group
-19,-1,-1,0.0,Low group
2,-11,-11,0.0,Low group
2,-13,-13,0.0,Low group
-23,-21,-21,0.0,Low group
19,17,17,0.0,Low group
-10,-11,-11,0.0,Low group
-5,-19,-19,0.0,Low group
-6,-4,-4,0.0,Low group
-5,0,0,0.0,Low group
20,4,4,0.0,Low group
14,2,2,0.0,Low group
14,15,15,0.0,Low group
2,-13,-13,0.0,Low group
21,31,31,0.0,Low group
-15,-16,-16,0.0,Low group
1,16,16,0.0,Low group
3,-5,-5,0.0,Low group
-4,4,4,0.0,Low group
14,14,14,0.0,Low group
16,24,24,0.0,Low group
-21,-24,-24,0.0,Low group
4,-10,-10,0.0,Low group
-3,0,0,0.0,Low group
21,8,8,0.0,Low group
-25,-20,-20,0.0,Low group
13,3,3,0.0,Low group
16,9,9,0.0,Low group
-16,-9,-9,0.0,Low group
-13,-5,-5,0.0,Low group
15,20,20,0.0,Low group
5,-1,-1,0.0,Low group
-14,5,5,0.0,Low group
8,9,9,0.0,Low group
-15,-19,-19,0.0,Low group
21,28,28,0.0,Low group
-11,1,1,0.0,Low group
3,-3,-3,0.0,Low group
5,20,20,0.0,Low group
-2,-16,-16,0.0,Low group
-19,-20,-20,0.0,Low group
-23,-16,-16,0.0,Low group
-1,-7,-7,0.0,Low group
11,17,17,0.0,Low group
4,-9,-9,0.0,Low group
17,27,27,0.0,Low group
19,6,6,0.0,Low group
-21,0,0,0.0,Low group
8,8,8,0.0,Low group
20,21,21,0.0,Low group
-8,7,7,0.0,Low group
-3,-5,-5,0.0,Low group
24,22,22,0.0,Low group
-14,-21,-21,0.0,Low group
24,19,19,0.0,Low group
1,-13,-13,0.0,Low group
-8,-1,-1,0.0,Low group
-6,-14,-14,0.0,Low group
19,32,32,0.0,Low group
-16,-9,-9,0.0,Low group
7,19,19,0.0,Low group
-11,-1,-1,0.0,Low group
-15,-3,-3,0.0,Low group
17,16,16,0.0,Low group
-8,-4,-4,0.0,Low group
2,14,14,0.0,Low group
1,15,15,0.0,Low group
-8,-1,-1,0.0,Low group
-7,-15,-15,0.0,Low group
-7,11,11,0.0,Low group
8,17,17,0.0,Low group
-20,-13,-13,0.0,Low group
0,8,8,0.0,Low group
12,3,3,0.0,Low group
-24,-26,-26,0.0,Low group
-23,-27,-27,0.0,Low group
-9,-11,-11,0.0,Low group
22,27,27,0.0,Low group
13,2,2,0.0,Low group
-17,-8,-8,0.0,Low group
-15,1,1,0.0,Low group
17,6,6,0.0,Low group
-15,-20,-20,0.0,Low group
-5,0,0,0.0,Low group
-22,-23,-23,0.0,Low group
13,-8,-8,0.0,Low group
2,7,7,0.0,Low group
-11,-9,-9,0.0,Low group
-1,-10,-10,0.0,Low group
-24,-18,-18,0.0,Low group
-12,-3,-3,0.0,Low group
15,2,2,0.0,Low group
13,-2,-2,0.0,Low group
14,20,20,0.0,Low group
-10,-10,-10,0.0,Low group
18,27,27,0.0,Low group
8,13,13,0.0,Low group
8,12,12,0.0,Low group
-17,-24,-24,0.0,Low group
20,0,0,0.0,Low group
-23,-27,-27,0.0,Low group
7,-6,-6,0.0,Low group
24,2,2,0.0,Low group
16,29,29,0.0,Low group
-19,2,2,0.0,Low group
-8,-17,-17,0.0,Low group
-5,-17,-17,0.0,Low group
19,6,6,0.0,Low group
6,-7,-7,0.0,Low group
-22,-3,-3,0.0,Low group
-11,-5,-5,0.0,Low group
-9,-2,-2,0.0,Low group
-4,0,0,0.0,Low group
-19,-8,-8,0.0,Low group
21,0,0,0.0,Low group
13,26,26,0.0,Low group
6,-12,-12,0.0,Low group
-15,-2,-2,0.0,Low group
-22,-21,-21,0.0,Low group
24,15,15,0.0,Low group
-11,2,2,0.0,Low group
-21,-25,-25,0.0,Low group
16,19,19,0.0,Low group
8,23,23,0.0,Low group
-16,-6,-6,0.0,Low group
25,1,1,0.0,Low group
21,5,5,0.0,Low group
8,0,0,0.0,Low group
8,-7,-7,0.0,Low group
-6,-6,-6,0.0,Low group
-2,4,4,0.0,Low group
-1,5,5,0.0,Low group
-14,-16,-16,0.0,Low group
-3,2,2,0.0,Low group
-23,-24,-24,0.0,Low group
-1,1,1,0.0,Low group
-13,-23,-23,0.0,Low group
18,14,14,0.0,Low group
-21,-9,-9,0.0,Low group
10,10,10,0.0,Low group
22,16,16,0.0,Low group
17,1,1,0.0,Low group
-2,1,1,0.0,Low group
-2,16,16,0.0,Low group
22,28,28,0.0,Low group
15,-4,-4,0.0,Low group
10,13,13,0.0,Low group
16,26,26,0.0,Low group
-22,-20,-20,0.0,Low group
21,30,30,0.0,Low group
2,-1,-1,0.0,Low group
10,9,9,0.0,Low group
-6,3,3,0.0,Low group
-16,-1,-1,0.0,Low group
9,-5,-5,0.0,Low group
-19,-13,-13,0.0,Low group
-2,-1,-1,0.0,Low group
7,16,16,0.0,Low group
-9,-13,-13,0.0,Low group
-8,1,1,0.0,Low group
10,12,12,0.0,Low group
-5,9,9,0.0,Low group
-7,-12,-12,0.0,Low group
19,26,26,0.0,Low group
-14,-25,-25,0.0,Low group
1,11,11,0.0,Low group
4,8,8,0.0,Low group
-7,-7,-7,0.0,Low group
21,12,12,0.0,Low group
5,-10,-10,0.0,Low group
-15,-17,-17,0.0,Low group
22,33,33,0.0,Low group
14,-2,-2,0.0,Low group
19,10,10,0.0,Low group
8,23,23,0.0,Low group
-10,-7,-7,0.0,Low group
-23,-22,-22,0.0,Low group
-16,-10,-10,0.0,Low group
-16,5,5,0.0,Low group
23,25,25,0.0,Low group
-2,-15,-15,0.0,Low group
5,4,4,0.0,Low group
-10,-6,-6,0.0,Low group
-14,-8,-8,0.0,Low group
-12,-2,-2,0.0,Low group
15,17,17,0.0,Low group
-14,-3,-3,0.0,Low group
-22,-25,-25,0.0,Low group
-8,0,0,0.0,Low group
6,6,6,0.0,Low group
-9,-1,-1,0.0,Low group
5,-13,-13,0.0,Low group
-16,-18,-18,0.0,Low group
5,-5,-5,0.0,Low group
13,-4,-4,0.0,Low group
0,-10,-10,0.0,Low group
-9,-5,-5,0.0,Low group
15,22,22,0.0,Low group
0,5,5,0.0,Low group
-12,-11,-11,0.0,Low group
-21,-22,-22,0.0,Low group
-1,-12,-12,0.0,Low group
4,1,1,0.0,Low group
-3,-4,-4,0.0,Low group
23,15,15,0.0,Low group
-16,-12,-12,0.0,Low group
8,-8,-8,0.0,Low group
0,12,12,0.0,Low group
4,6,6,0.0,Low group
-1,9,9,0.0,Low group
-8,-16,-16,0.0,Low group
20,31,31,0.0,Low group
-20,-10,-10,0.0,Low group
0,9,9,0.0,Low group
5,-3,-3,0.0,Low group
21,15,15,0.0,Low group
19,-1,-1,0.0,Low group
-6,-13,-13,0.0,Low group
20,33,33,0.0,Low group
-8,9,9,0.0,Low group
-20,0,0,0.0,Low group
17,6,6,0.0,Low group
-22,-4,-4,0.0,Low group
22,2,2,0.0,Low group
15,-6,-6,0.0,Low group
22,-1,-1,0.0,Low group
23,0,0,0.0,Low group
-23,-19,-19,0.0,Low group
-16,-15,-15,0.0,Low group
-18,-19,-19,0.0,Low group
-11,-13,-13,0.0,Low group
21,0,0,0.0,Low group
22,-1,-1,0.0,Low group
3,6,6,0.0,Low group
11,22,22,0.0,Low group
0,14,14,0.0,Low group
-4,6,6,0.0,Low group
-21,-18,-18,0.0,Low group
19,-5,-5,0.0,Low group
1,17,17,0.0,Low group
5,3,3,0.0,Low group
-5,-11,-11,0.0,Low group
15,29,29,0.0,Low group
15,16,16,0.0,Low group
24,31,31,0.0,Low group
-10,-18,-18,0.0,Low group
11,21,21,0.0,Low group
25,34,34,0.0,Low group
-10,-18,-18,0.0,Low group
11,24,24,0.0,Low group
7,5,5,0.0,Low group
18,25,25,0.0,Low group
-21,-3,-3,0.0,Low group
6,-6,-6,0.0,Low group
-2,7,7,0.0,Low group
-13,-4,-4,0.0,Low group
-13,-15,-15,0.0,Low group
-9,-1,-1,0.0,Low group
-15,-22,-22,0.0,Low group
22,2,2,0.0,Low group
-22,-14,-14,0.0,Low group
8,8,8,0.0,Low group
-17,-9,-9,0.0,Low group
-6,-8,-8,0.0,Low group
3,-4,-4,0.0,Low group
-15,3,3,0.0,Low group
17,26,26,0.0,Low group
-11,9,9,0.0,Low group
3,4,4,0.0,Low group
-8,-12,-12,0.0,Low group
7,5,5,0.0,Low group
-22,-1,-1,0.0,Low group
10,26,26,0.0,Low group
20,17,17,0.0,Low group
-2,-6,-6,0.0,Low group
15,4,4,0.0,Low group
7,0,0,0.0,Low group
-19,-5,-5,0.0,Low group
-8,0,0,0.0,Low group
4,-13,-13,0.0,Low group
-8,-3,-3,0.0,Low group
-18,-3,-3,0.0,Low group
-22,-22,-22,0.0,Low group
17,4,4,0.0,Low group
-8,4,4,0.0,Low group
-19,-7,-7,0.0,Low group
-5,-4,-4,0.0,Low group
-13,-6,-6,0.0,Low group
-22,-6,-6,0.0,Low group
-19,-3,-3,0.0,Low group
-6,6,6,0.0,Low group
20,0,0,0.0,Low group
9,22,22,0.0,Low group
-3,10,10,0.0,Low group
-14,-9,-9,0.0,Low group
-9,-21,-21,0.0,Low group
1,0,0,0.0,Low group
7,17,17,0.0,Low group
-20,-3,-3,0.0,Low group
0,13,13,0.0,Low group
-23,-18,-18,0.0,Low group
-5,11,11,0.0,Low group
21,30,30,0.0,Low group
13,24,24,0.0,Low group
-22,-17,-17,0.0,Low group
-23,-22,-22,0.0,Low group
22,9,9,0.0,Low group
-7,-5,-5,0.0,Low group
7,19,19,0.0,Low group
-16,-10,-10,0.0,Low group
18,12,12,0.0,Low group
-23,-20,-20,0.0,Low group
9,-10,-10,0.0,Low group
4,-7,-7,0.0,Low group
9,0,0,0.0,Low group
-16,-4,-4,0.0,Low group
18,-2,-2,0.0,Low group
3,7,7,0.0,Low group
-14,-7,-7,0.0,Low group
-6,7,7,0.0,Low group
8,-5,-5,0.0,Low group
-9,-7,-7,0.0,Low group
22,31,31,0.0,Low group
-23,-2,-2,0.0,Low group
18,4,4,0.0,Low group
-16,-25,-25,0.0,Low group
19,31,31,0.0,Low group
22,30,30,0.0,Low group
-8,-14,-14,0.0,Low group
2,11,11,0.0,Low group
9,10,10,0.0,Low group
-24,-15,-15,0.0,Low group
-12,-18,-18,0.0,Low group
5,16,16,0.0,Low group
24,21,21,0.0,Low group
15,11,11,0.0,Low group
2,-4,-4,0.0,Low group
4,0,0,0.0,Low group
-24,-21,-21,0.0,Low group
15,28,28,0.0,Low group
3,-6,-6,0.0,Low group
16,24,24,0.0,Low group
-25,-9,-9,0.0,Low group
-20,-20,-20,0.0,Low group
22,12,12,0.0,Low group
4,6,6,0.0,Low group
-14,-12,-12,0.0,Low group
-17,-16,-16,0.0,Low group
22,20,20,0.0,Low group
-14,-21,-21,0.0,Low group
-19,-20,-20,0.0,Low group
-12,-22,-22,0.0,Low group
-23,-13,-13,0.0,Low group
-19,-3,-3,0.0,Low group
-17,-22,-22,0.0,Low group
-22,-15,-15,0.0,Low group
-5,-3,-3,0.0,Low group
15,5,5,0.0,Low group
9,6,6,0.0,Low group
-8,-8,-8,0.0,Low group
8,6,6,0.0,Low group
14,24,24,0.0,Low group
-13,-24,-24,0.0,Low group
-25,-27,-27,0.0,Low group
-14,6,6,0.0,Low group
18,21,21,0.0,Low group
-6,5,5,0.0,Low group
0,-9,-9,0.0,Low group
24,0,0,0.0,Low group
1,-11,-11,0.0,Low group
-10,-12,-12,0.0,Low group
-12,-23,-23,0.0,Low group
3,5,5,0.0,Low group
-21,-12,-12,0.0,Low group
0,9,9,0.0,Low group
-5,10,10,0.0,Low group
-10,7,7,0.0,Low group
4,0,0,0.0,Low group
-15,-12,-12,0.0,Low group
24,18,18,0.0,Low group
2,-8,-8,0.0,Low group
-12,-7,-7,0.0,Low group
13,25,25,0.0,Low group
23,36,36,0.0,Low group
-16,-1,-1,0.0,Low group
-6,-5,-5,0.0,Low group
-16,-25,-25,0.0,Low group
24,14,14,0.0,Low group
-21,-22,-22,0.0,Low group
10,3,3,0.0,Low group
0,-11,-11,0.0,Low group
-18,3,3,0.0,Low group
-2,-3,-3,0.0,Low group
9,1,1,0.0,Low group
5,15,15,0.0,Low group
-3,-12,-12,0.0,Low group
-22,0,0,0.0,Low group
-12,-20,-20,0.0,Low group
19,13,13,0.0,Low group
7,15,15,0.0,Low group
10,12,12,0.0,Low group
-4,-13,-13,0.0,Low group
17,6,6,0.0,Low group
-23,-14,-14,0.0,Low group
17,29,29,0.0,Low group
-4,9,9,0.0,Low group
-20,0,0,0.0,Low group
4,-1,-1,0.0,Low group
-6,6,6,0.0,Low group
13,-3,-3,0.0,Low group
-24,-1,-1,0.0,Low group
-13,-20,-20,0.0,Low group
-21,-13,-13,0.0,Low group
-6,1,1,0.0,Low group
14,7,7,0.0,Low group
15,24,24,0.0,Low group
24,0,0,0.0,Low group
-21,-12,-12,0.0,Low group
8,12,12,0.0,Low group
-10,-14,-14,0.0,Low group
-13,-9,-9,0.0,Low group
17,18,18,0.0,Low group
-12,-12,-12,0.0,Low group
5,10,10,0.0,Low group
20,34,34,0.0,Low group
-11,-21,-21,0.0,Low group
8,12,12,0.0,Low group
24,17,17,0.0,Low group
19,20,20,0.0,Low group
3,17,17,0.0,Low group
-12,0,0,0.0,Low group
1,1,1,0.0,Low group
-10,0,0,0.0,Low group
-9,-7,-7,0.0,Low group
-11,-10,-10,0.0,Low group
13,13,13,0.0,Low group
-15,-6,-6,0.0,Low group
-8,-3,-3,0.0,Low group
-17,0,0,0.0,Low group
-2,7,7,0.0,Low group
-11,-23,-23,0.0,Low group
-22,-16,-16,0.0,Low group
-9,9,9,0.0,Low group
6,2,2,0.0,Low group
11,2,2,0.0,Low group
13,27,27,0.0,Low group
10,24,24,0.0,Low group
-6,-5,-5,0.0,Low group
-6,-16,-16,0.0,Low group
-10,-11,-11,0.0,Low group
-12,-1,-1,0.0,Low group
-9,-4,-4,0.0,Low group
9,6,6,0.0,Low group
-14,-6,-6,0.0,Low group
-24,-30,-30,0.0,Low group
9,1,1,0.0,Low group
-2,8,8,0.0,Low group
-10,-19,-19,0.0,Low group
8,10,10,0.0,Low group
-23,-2,-2,0.0,Low group
4,2,2,0.0,Low group
6,8,8,0.0,Low group
2,17,17,0.0,Low group
11,-3,-3,0.0,Low group
-13,-17,-17,0.0,Low group
-16,-5,-5,0.0,Low group
10,-4,-4,0.0,Low group
-16,-11,-11,0.0,Low group
16,25,25,0.0,Low group
8,18,18,0.0,Low group
9,-3,-3,0.0,Low group
21,30,30,0.0,Low group
-6,-2,-2,0.0,Low group
17,32,32,0.0,Low group
3,4,4,0.0,Low group
-12,-3,-3,0.0,Low group
0,-1,-1,0.0,Low group
-13,2,2,0.0,Low group
-22,-16,-16,0.0,Low group
25,7,7,0.0,Low group
7,23,23,0.0,Low group
-6,-13,-13,0.0,Low group
-20,-18,-18,0.0,Low group
7,-8,-8,0.0,Low group
11,11,11,0.0,Low group
-13,-11,-11,0.0,Low group
-25,-29,-29,0.0,Low group
24,0,0,0.0,Low group
10,24,24,0.0,Low group
-15,-4,-4,0.0,Low group
16,0,0,0.0,Low group
0,4,4,0.0,Low group
-17,1,1,0.0,Low group
12,-6,-6,0.0,Low group
22,23,23,0.0,Low group
-16,-12,-12,0.0,Low group
4,7,7,0.0,Low group
-25,-16,-16,0.0,Low group
6,8,8,0.0,Low group
-9,1,1,0.0,Low group
0,2,2,0.0,Low group
-4,-18,-18,0.0,Low group
15,0,0,0.0,Low group
21,9,9,0.0,Low group
-15,-19,-19,0.0,Low group
6,-1,-1,0.0,Low group
-15,-17,-17,0.0,Low group
0,12,12,0.0,Low group
1,-15,-15,0.0,Low group
21,29,29,0.0,Low group
-24,-19,-19,0.0,Low group
0,-8,-8,0.0,Low group
-15,-10,-10,0.0,Low group
-7,8,8,0.0,Low group
-20,-1,-1,0.0,Low group
-7,-20,-20,0.0,Low group
21,32,32,0.0,Low group
11,7,7,0.0,Low group
12,17,17,0.0,Low group
0,16,16,0.0,Low group
17,31,31,0.0,Low group
-1,-16,-16,0.0,Low group
13,17,17,0.0,Low group
1,-4,-4,0.0,Low group
-7,-3,-3,0.0,Low group
-22,-18,-18,0.0,Low group
-24,-10,-10,0.0,Low group
-19,-12,-12,0.0,Low group
-18,-11,-11,0.0,Low group
-7,-9,-9,0.0,Low group
-20,-22,-22,0.0,Low group
-22,-18,-18,0.0,Low group
-15,0,0,0.0,Low group
11,0,0,0.0,Low group
6,-2,-2,0.0,Low group
5,2,2,0.0,Low group
-14,-14,-14,0.0,Low group
0,7,7,0.0,Low group
4,-2,-2,0.0,Low group
-21,0,0,0.0,Low group
24,26,26,0.0,Low group
-11,5,5,0.0,Low group
-12,-8,-8,0.0,Low group
18,17,17,0.0,Low group
-16,-12,-12,0.0,Low group
0,-15,-15,0.0,Low group
24,19,19,0.0,Low group
-4,-16,-16,0.0,Low group
8,-8,-8,0.0,Low group
20,24,24,0.0,Low group
0,9,9,0.0,Low group
-8,5,5,0.0,Low group
-21,-13,-13,0.0,Low group
-22,0,0,0.0,Low group
-15,-14,-14,0.0,Low group
24,-1,-1,0.0,Low group
-11,-4,-4,0.0,Low group
23,35,35,0.0,Low group
7,5,5,0.0,Low group
9,-2,-2,0.0,Low group
-22,-17,-17,0.0,Low group
-21,-10,-10,0.0,Low group
-17,-23,-23,0.0,Low group
-9,-2,-2,0.0,Low group
1,-11,-11,0.0,Low group
-3,-11,-11,0.0,Low group
0,17,17,0.0,Low group
-19,-19,-19,0.0,Low group
4,-1,-1,0.0,Low group
-13,-10,-10,0.0,Low group
-8,-2,-2,0.0,Low group
-17,-23,-23,0.0,Low group
19,34,34,0.0,Low group
4,17,17,0.0,Low group
20,32,32,0.0,Low group
-4,2,2,0.0,Low group
-22,-25,-25,0.0,Low group
5,-10,-10,0.0,Low group
-1,-1,-1,0.0,Low group
-12,-3,-3,0.0,Low group
15,15,15,0.0,Low group
-8,-2,-2,0.0,Low group
0,-1,-1,0.0,Low group
1,-11,-11,0.0,Low group
11,4,4,0.0,Low group
4,16,16,0.0,Low group
3,8,8,0.0,Low group
-17,-18,-18,0.0,Low group
4,17,17,0.0,Low group
1,-10,-10,0.0,Low group
-2,10,10,0.0,Low group
-7,-9,-9,0.0,Low group
20,27,27,0.0,Low group
-9,-15,-15,0.0,Low group
-16,-5,-5,0.0,Low group
-15,-2,-2,0.0,Low group
15,11,11,0.0,Low group
17,7,7,0.0,Low group
3,15,15,0.0,Low group
-24,-27,-27,0.0,Low group
5,16,16,0.0,Low group
21,4,4,0.0,Low group
10,20,20,0.0,Low group
23,16,16,0.0,Low group
0,-15,-15,0.0,Low group
12,-7,-7,0.0,Low group
8,20,20,0.0,Low group
-5,-7,-7,0.0,Low group
4,19,19,0.0,Low group
0,8,8,0.0,Low group
-21,-1,-1,0.0,Low group
-8,7,7,0.0,Low group
9,8,8,0.0,Low group
14,1,1,0.0,Low group
0,-10,-10,0.0,Low group
-14,2,2,0.0,Low group
13,-6,-6,0.0,Low group
-11,2,2,0.0,Low group
-17,-18,-18,0.0,Low group
0,-11,-11,0.0,Low group
13,24,24,0.0,Low group
-1,-7,-7,0.0,Low group
18,28,28,0.0,Low group
-15,-25,-25,0.0,Low group
0,6,6,0.0,Low group
-5,5,5,0.0,Low group
8,17,17,0.0,Low group
1,0,0,0.0,Low group
5,0,0,0.0,Low group
24,17,17,0.0,Low group
-21,-2,-2,0.0,Low group
-23,-20,-20,0.0,Low group
19,11,11,0.0,Low group
-9,10,10,0.0,Low group
17,1,1,0.0,Low group
0,-14,-14,0.0,Low group
24,4,4,0.0,Low group
20,22,22,0.0,Low group
19,19,19,0.0,Low group
4,-4,-4,0.0,Low group
20,18,18,0.0,Low group
-15,-25,-25,0.0,Low group
3,3,3,0.0,Low group
-9,-18,-18,0.0,Low group
-17,-20,-20,0.0,Low group
7,8,8,0.0,Low group
-24,-17,-17,0.0,Low group
-8,3,3,0.0,Low group
-22,0,0,0.0,Low group
23,-1,-1,0.0,Low group
-1,-12,-12,0.0,Low group
17,32,32,0.0,Low group
-4,13,13,0.0,Low group
21,2,2,0.0,Low group
18,7,7,0.0,Low group
10,-3,-3,0.0,Low group
25,22,22,0.0,Low group
-21,-6,-6,0.0,Low group
-20,-22,-22,0.0,Low group
4,-14,-14,0.0,Low group
15,29,29,0.0,Low group
-16,-25,-25,0.0,Low group
-10,-13,-13,0.0,Low group
7,-7,-7,0.0,Low group
-9,0,0,0.0,Low group
-16,-23,-23,0.0,Low group
10,9,9,0.0,Low group
-13,5,5,0.0,Low group
1,-12,-12,0.0,Low group
1,9,9,0.0,Low group
22,28,28,0.0,Low group
-9,-1,-1,0.0,Low group
9,11,11,0.0,Low group
18,24,24,0.0,Low group
12,-5,-5,0.0,Low group
20,0,0,0.0,Low group
17,19,19,0.0,Low group
-17,-6,-6,0.0,Low group
-23,-17,-17,0.0,Low group
-3,-6,-6,0.0,Low group
22,15,15,0.0,Low group
-10,6,6,0.0,Low group
-3,5,5,0.0,Low group
24,31,31,0.0,Low group
-23,-2,-2,0.0,Low group
22,0,0,0.0,Low group
16,13,13,0.0,Low group
13,-3,-3,0.0,Low group
18,-3,-3,0.0,Low group
-20,-14,-14,0.0,Low group
-3,8,8,0.0,Low group
-16,1,1,0.0,Low group
-1,16,16,0.0,Low group
-18,-11,-11,0.0,Low group
-16,0,0,0.0,Low group
22,12,12,0.0,Low group
-8,9,9,0.0,Low group
-2,-4,-4,0.0,Low group
-1,-1,-1,0.0,Low group
-3,11,11,0.0,Low group
0,10,10,0.0,Low group
17,11,11,0.0,Low group
-2,6,6,0.0,Low group
-19,-18,-18,0.0,Low group
21,-2,-2,0.0,Low group
-5,-3,-3,0.0,Low group
11,7,7,0.0,Low group
